1000,1505.000000000
2000,3478.000000000
3000,5515.000000000
4000,7512.000000000
5000,9365.000000000
6000,11338.000000000
7000,13584.000000000
8000,15972.000000000
9000,18472.000000000
10000,21427.000000000
11000,23660.000000000
12000,26192.000000000
13000,28864.000000000
14000,31522.000000000
15000,34099.000000000
16000,36315.000000000
17000,39011.000000000
18000,41356.000000000
19000,43791.000000000
20000,46196.000000000
21000,48424.000000000
22000,50705.000000000
23000,52910.000000000
24000,55102.000000000
25000,57190.000000000
26000,59292.000000000
27000,61389.000000000
28000,63473.000000000
29000,65481.000000000
30000,67577.000000000
31000,69618.000000000
32000,71705.000000000
33000,73761.000000000
34000,75784.000000000
35000,77713.000000000
36000,79734.000000000
37000,81711.000000000
38000,83717.000000000
39000,85821.000000000
40000,87814.000000000
41000,89791.000000000
42000,91896.000000000
43000,93961.000000000
44000,95979.000000000
45000,98114.000000000
46000,100236.000000000
47000,102991.000000000
48000,106681.000000000
49000,109548.000000000
50000,112236.000000000
51000,114732.000000000
52000,117469.000000000
53000,120186.000000000
54000,122989.000000000
55000,125616.000000000
56000,128700.000000000
57000,131564.000000000
58000,134125.000000000
59000,136576.000000000
60000,138904.000000000
61000,141261.000000000
62000,143538.000000000
63000,145757.000000000
64000,147990.000000000
65000,150304.000000000
66000,152557.000000000
67000,154828.000000000
68000,157076.000000000
69000,159251.000000000
70000,161474.000000000
71000,163610.000000000
72000,165823.000000000
73000,168008.000000000
74000,170328.000000000
75000,172661.000000000
76000,174957.000000000
77000,177149.000000000
78000,179554.000000000
79000,181869.000000000
80000,184133.000000000
81000,186631.000000000
82000,189028.000000000
83000,191424.000000000
84000,193822.000000000
85000,196067.000000000
86000,198588.000000000
87000,201096.000000000
88000,203534.000000000
89000,206049.000000000
90000,209127.000000000
91000,213069.000000000
92000,216181.000000000
93000,219093.000000000
94000,222137.000000000
95000,225353.000000000
96000,228164.000000000
97000,231241.000000000
98000,234337.000000000
99000,237808.000000000
100000,240613.000000000
